,0
0,Illinois
1,Missouri
2,Minnesota
3,Mississippi
4,Vermont
5,South Dakota
6,Louisiana
7,West Virginia
8,North Carolina
9,Oklahoma
10,Nebraska
11,New York
12,Maryland
13,Connecticut
14,Hawaii
15,Idaho
16,Nevada
17,Colorado
18,Utah
19,Ohio
20,Delaware
21,North Dakota
22,Arizona
23,New Mexico
24,New Hampshire
25,Arkansas
26,Georgia
27,Pennsylvania
28,Indiana
29,California
30,Kentucky
31,New Jersey
32,Oregon
33,Virginia
34,Michigan
35,Iowa
36,Maine
37,Massachusetts
38,Wyoming
39,Kansas
40,Rhode Island
41,Washington
42,Montana
43,Florida
44,Wisconsin
45,South Carolina
46,Tennessee
